issue_type_id,url,linked_from
15,https://progdev.pro/,https://www.caldea.com/
15,https://en.wikivoyage.org/wiki/Andorra,http://www.caldea.com/
15,https://lapuritoandorra.com/,https://www.caldea.com/
15,https://www.ordinoarcalis.com/es/forfait/temporada/nord-pass/ventajas,https://www.caldea.com/es/
15,https://www.grandvalira.com/es/forfait/temporada/ventajas,https://www.caldea.com/es/
15,https://mountainlikers.com/es/,https://www.caldea.com/
15,https://www.clubpiolet.ad/,https://www.caldea.com/ca/club-piolet
15,https://en.wikipedia.org/wiki/Caldea,https://www.caldea.com/
15,https://it.wikipedia.org/wiki/Andorra_la_Vella,http://www.caldea.com/
15,https://www.puritorodriguez.com/lapurito,https://www.caldea.com/
15,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%B9%E3%82%AB%E3%83%AB%E3%83%87%E3%82%B9%EF%BC%9D%E3%82%A8%E3%83%B3%E3%82%B4%E3%83%AB%E3%83%80%E3%83%8B%E6%95%99%E5%8C%BA,http://www.caldea.com/
15,https://www.planetware.com/tourist-attractions/andorra-and.htm,http://www.caldea.com/en/
15,https://mountainlikers.com/,https://www.caldea.com/
15,https://visitandorra.com/es/sublimbycirquedusoleil/,https://www.caldea.com/
15,https://en.wikivoyage.org/wiki/Escaldes-Engordany,http://www.caldea.com/
15,https://www.theguardian.com/travel/2023/nov/17/it-was-so-exhilarating-readers-favourite-spas-and-saunas-in-europe,https://www.caldea.com/en/
15,https://youcakes.com/shop,https://www.caldea.com/
15,http://open.escacsandorra.com/,https://www.caldea.com/
15,https://andorratrail.com/ca/,https://www.caldea.com/
15,https://en.wikivoyage.org/wiki/Andorra_la_Vella,https://www.caldea.com/
15,https://bhs-links-rocket.online/andorra-18-07-2025/bhs-links-andorra-1/,https://www.caldea.com/blog/caldea-et-casino-le-meilleur-des-plans/?lang=fr
15,https://fr.wikipedia.org/wiki/Caldea,https://www.caldea.com/fr/
15,https://fr.wikipedia.org/wiki/Escaldes-Engordany,http://www.caldea.com/
15,https://amicusint.ca/places-where-a-fugitive-can-live-a-new-identity/,https://www.caldea.com/entradas
15,https://roa-tara.wikipedia.org/wiki/Andorra_la_Vella,http://www.caldea.com/
15,https://www.grandvalira.com/ca/forfet/temporada/avantatges,https://www.caldea.com/ca/
15,https://www.grandvalira.com/en/ski-pass/season/advantages,https://www.caldea.com/en/
15,https://www.grandvalira.com/fr/forfait/saison/avantages,https://www.caldea.com/fr/
15,https://he.wikivoyage.org/wiki/%D7%90%D7%A0%D7%93%D7%95%D7%A8%D7%94_%D7%9C%D7%94_%D7%95%D7%9C%D7%94,http://www.caldea.com/es/es.html
15,https://www.ou-et-quand.net/ou-aller/andorre/,https://www.caldea.com/fr/
15,https://pl.wikipedia.org/wiki/Caldea,https://www.caldea.com/en/origins
15,https://www.festivalullnu.com/,https://www.caldea.com/
15,https://bn.wikivoyage.org/wiki/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A7%8B%E0%A6%B0%E0%A6%BE,http://www.caldea.com/
15,https://ca.wikipedia.org/wiki/Centre_Termol%C3%BAdic_Caldea,http://www.caldea.com/Lang/ca-ES/Content/Img/Caldea_15%20ANIVERSARI%20I%2080%20TRACTAMENTSCAT0309.pdf
15,https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%B3%E3%83%89%E3%83%A9,http://www.caldea.com/
15,https://pt.wikipedia.org/wiki/Centro_Termol%C3%BAdico_Caldea,http://www.caldea.com/Lang/ca-ES/Content/Img/Caldea_15%20ANIVERSARI%20I%2080%20TRACTAMENTSCAT0309.pdf
15,https://pl.wikipedia.org/wiki/Les_Escaldes,https://www.caldea.com/en/history
15,https://ca.wikipedia.org/wiki/Flotador_de_bra%C3%A7,http://www.caldea.com/ca/condicions-reserva.html
15,https://ja.wikivoyage.org/wiki/%E3%82%A2%E3%83%B3%E3%83%89%E3%83%A9%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%99%E3%83%AA%E3%83%A3,https://www.caldea.com/
15,https://ms.wikipedia.org/wiki/Escaldes-Engordany,http://www.caldea.com/
15,https://sq.wikipedia.org/wiki/Escaldes-Engordany,http://www.caldea.com/
